term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
group_mid,-0.38226724758773717,0.6823126824189402,0.06363984642101558,-0.5069990545545879,-0.2575354406208864,0.6023003399248892,0.7729542318501541,0.0,-6.006728002748641,1.893046979093649e-09,28.97664263963538,HRS,M1,2252
group_high,-0.9839304991706543,0.3738388341516135,0.06771927638965287,-1.1166578419534876,-0.8512031563878211,0.32737209757184443,0.42690099417885524,0.0,-14.529548329919741,7.873788205907236e-48,156.47549064809044,HRS,M1,2252
group_mid,-0.26679354787376786,0.7658311626175424,0.06778113048210366,-0.39964212245010106,-0.13394497329743466,0.6705599814625531,0.8746381917348122,0.0,-3.9361035435106784,8.281525275438583e-05,13.559743969434894,HRS,M2,2252
group_high,-0.7677498377730512,0.46405609587865193,0.08137002144960905,-0.9272321492355365,-0.6082675263105658,0.39564728889339035,0.5442930260547381,0.0,-9.435291082582602,3.899101199655302e-21,67.79734839282439,HRS,M2,2252
age,0.015792585328162103,1.015917947264113,0.003059355977508301,0.009796357796358502,0.021788812859965704,1.0098444991843976,1.022027922523614,0.0,5.162062030134986,2.44244322344698e-07,21.965171638232214,HRS,M2,2252
female,0.1888099221796102,1.2078113525133345,0.04921592152601413,0.09234848852267294,0.2852713558365475,1.0967469592193106,1.3301229157712944,0.0,3.8363585670098788,0.00012487205428799228,12.967261734078148,HRS,M2,2252
group_mid,-0.23631979951571153,0.7895281428375739,0.06798670848212755,-0.3695712995681053,-0.10306829946331772,0.6910305122252746,0.9020653607974638,0.0,-3.4759705947205197,0.0005090080931519515,10.940023784432443,HRS,M3,2252
group_high,-0.6873088328493432,0.5029277120395071,0.08250025957512343,-0.8490063703317908,-0.5256112953668955,0.42783983516901053,0.5911938598176008,0.0,-8.330989943413337,8.016914141777957e-17,53.46973058950512,HRS,M3,2252
age,0.01588110394365628,1.0160078788945135,0.003203790831353599,0.009601789300203587,0.02216041858710897,1.0096480343723921,1.022407784528001,0.0,4.956972779944727,7.160000313808582e-07,20.41353701349155,HRS,M3,2252
female,0.18402008389039548,1.202039964492772,0.05151287013637693,0.08305671368280779,0.2849834540979832,1.0866034320831577,1.3297400261912722,0.0,3.572312771608618,0.00035384244772703214,11.46460525223349,HRS,M3,2252
marital,0.010889092485252548,1.010948594430769,0.041409560609415176,-0.07027215492482969,0.09205033989533479,0.9321400988632617,1.0964200143603844,0.0,0.26296083138773335,0.7925807689420149,0.3353701324875698,HRS,M3,2252
educ_hs,-0.20352690654645508,0.8158482523684467,0.07463344870682297,-0.3498057780538456,-0.05724803503906459,0.704824968902971,0.9443598059935914,0.0,-2.727019990004143,0.006390916722639435,7.28976139631503,HRS,M3,2252
educ_college,-0.43003054562629284,0.6504892248190799,0.08438456101524942,-0.5954212460674044,-0.26463984518518124,0.5513302712360656,0.7674823126563847,0.0,-5.096080852379863,3.4675707854230697e-07,21.459571330837427,HRS,M3,2252
smk_former,0.1380952274308577,1.1480848742417564,0.05473532181207542,0.030815967996980234,0.24537448686473518,1.0312956950091463,1.2780998552030414,0.0,2.5229636523374173,0.01163704286293453,6.425131694156578,HRS,M3,2252
smk_current,0.262512925092446,1.3001932731781412,0.08013605733145555,0.10544913885975615,0.41957671132513585,1.1112095856989799,1.5213174628567645,0.0,3.2758402875580783,0.0010534811748557228,9.890619750464104,HRS,M3,2252
drink,-0.07369253686474468,0.9289572700517273,0.05300985998729524,-0.17758995326535423,0.03020487953586487,0.8372856793672727,1.0306656746286265,0.0,-1.390166600749491,0.16447829296253974,2.6040308981713034,HRS,M3,2252
sbp,0.00022597354329522844,1.0002259990772397,0.0013036839785478566,-0.002329200101880459,0.0027811471884709154,0.9976735103798504,1.0027850181660671,0.0,0.17333460180045715,0.8623884270116157,0.2135902771923282,HRS,M3,2252
