term,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p),cohort,model,n
group_mid,-0.38226724758773717,0.6823126824189402,0.06363984642101558,-0.5069990545545879,-0.2575354406208864,0.6023003399248892,0.7729542318501541,0.0,-6.006728002748641,1.893046979093649e-09,28.97664263963538,HRS,M1,2252
group_high,-0.9839304991706543,0.3738388341516135,0.06771927638965287,-1.1166578419534876,-0.8512031563878211,0.32737209757184443,0.42690099417885524,0.0,-14.529548329919741,7.873788205907236e-48,156.47549064809044,HRS,M1,2252
group_mid,-0.26679354787376786,0.7658311626175424,0.06778113048210366,-0.39964212245010106,-0.13394497329743466,0.6705599814625531,0.8746381917348122,0.0,-3.9361035435106784,8.281525275438583e-05,13.559743969434894,HRS,M2,2252
group_high,-0.7677498377730512,0.46405609587865193,0.08137002144960905,-0.9272321492355365,-0.6082675263105658,0.39564728889339035,0.5442930260547381,0.0,-9.435291082582602,3.899101199655302e-21,67.79734839282439,HRS,M2,2252
age,0.015792585328162103,1.015917947264113,0.003059355977508301,0.009796357796358502,0.021788812859965704,1.0098444991843976,1.022027922523614,0.0,5.162062030134986,2.44244322344698e-07,21.965171638232214,HRS,M2,2252
female,0.1888099221796102,1.2078113525133345,0.04921592152601413,0.09234848852267294,0.2852713558365475,1.0967469592193106,1.3301229157712944,0.0,3.8363585670098788,0.00012487205428799228,12.967261734078148,HRS,M2,2252
group_mid,-0.23738298530435575,0.7886891738053788,0.06806811113960735,-0.3707940316336558,-0.10397193897505569,0.6901860834199987,0.9012505870815816,0.0,-3.487433121472762,0.0004876808756975972,11.001774981047328,HRS,M3,2252
group_high,-0.6873580141660495,0.5029029780006522,0.08245938932554774,-0.8489754474312896,-0.5257405809008093,0.42785306542222173,0.5911174319444032,0.0,-8.335715553899826,7.703090350907309e-17,53.527340266045876,HRS,M3,2252
age,0.015928786635908878,1.016056326040565,0.0032022497668364766,0.0096524924234076,0.022205080848410157,1.0096992279788986,1.0224534485913526,0.0,4.97424866756881,6.550118438503347e-07,20.54197567067647,HRS,M3,2252
female,0.18520892065559996,1.2034698435738087,0.05163378366549617,0.08400856428569493,0.286409277025505,1.08763820861329,1.3316373523123672,0.0,3.586971697744557,0.00033454061837476625,11.545530992687992,HRS,M3,2252
marital,0.023344676601629505,1.023619296370649,0.05932495004100134,-0.09293008886337113,0.13961944206663013,0.9112572050962466,1.1498361363207819,0.0,0.3935052045639358,0.6939463807228597,0.5271039007490991,HRS,M3,2252
educ_hs,-0.20417803742447874,0.8153172012901879,0.07466603564214327,-0.35052077815146354,-0.057835296697493904,0.7043211991005923,0.9438053824995338,0.0,-2.7345503972255334,0.006246553223765309,7.322723937871888,HRS,M3,2252
educ_college,-0.4316462916303655,0.649439048091281,0.08454056963066713,-0.5973427633389737,-0.26594981992175726,0.5502718977646454,0.7664775884413839,0.0,-5.105788777105491,3.2941749433727143e-07,21.533579490071887,HRS,M3,2252
smk_former,0.1381310362739091,1.148125986568916,0.0547060004889048,0.030909245577425096,0.24535282697039312,1.0313918962629405,1.2780721719950277,0.0,2.5249704792790353,0.011570800857057029,6.43336746772178,HRS,M3,2252
smk_current,0.2642916094275415,1.3025079645281095,0.0802989352459703,0.10690858834852573,0.42167463050655724,1.112832523970889,1.524512414146101,0.0,3.2913463748674627,0.0009970906009093127,9.969987778091566,HRS,M3,2252
drink,-0.0736524386986989,0.9289945202814193,0.052952012200822504,-0.17743647552123654,0.030131598123838726,0.8374141939463356,1.0305901487600178,0.0,-1.3909280429111788,0.16424724808675967,2.6060588960587476,HRS,M3,2252
sbp,0.0002432985057927647,1.0002433281052747,0.0013048871066010073,-0.0023142332270358877,0.002800830238621417,0.9976884425461596,1.002804756228122,0.0,0.18645176625778215,0.8520905004748407,0.23092142775505478,HRS,M3,2252
